Id,Table Type,Surface Material,Structural Material,Street / Avenue,Neighbourhood Id,Neighbourhood Name,Ward,Latitude,Longitude,Location
222,Square Picnic Table,Wood,Aggregate,YELLOWHEAD TRAIL NW,1130,ELMWOOD PARK,WARD 07,53.5817636749006,-113.456147475507,"(53.5817636749006, -113.456147475507)"
251,Square Picnic Table,Wood,Aggregate,59A STREET NW,2500,MATT BERRY,WARD 04,53.6208939598745,-113.431908087711,"(53.6208939598745, -113.431908087711)"
16,Square Picnic Table,Wood,Aggregate,190 STREET NW,4630,WHITE INDUSTRIAL,WARD 01,53.5568779742149,-113.649055261566,"(53.5568779742149, -113.649055261566)"
281,Square Picnic Table,Wood,Aggregate,123 AVENUE NW,2090,BERGMAN,WARD 07,53.5791490424976,-113.408291879618,"(53.5791490424976, -113.408291879618)"
112,Square Picnic Table,Unknown,Unknown,128 STREET NW,3220,HAGMANN ESTATE INDUSTRIAL,WARD 02,53.5815829716324,-113.542571502266,"(53.5815829716324, -113.542571502266)"
55,Square Picnic Table,Wood,Metal,HENDERSON STREET NW,5230,HENDERSON ESTATES,WARD 09,53.4687190238177,-113.597822057598,"(53.4687190238177, -113.597822057598)"
84,Square Picnic Table,Wood,Wood,148 STREET NW,5080,BRANDER GARDENS,WARD 09,53.4947361723737,-113.574393504051,"(53.4947361723737, -113.574393504051)"
60,Square Picnic Table,Wood,Metal,RONNING STREET NW,5350,RHATIGAN RIDGE,WARD 09,53.4761598357258,-113.596277104723,"(53.4761598357258, -113.596277104723)"
67,Square Picnic Table,Wood,Aggregate,FALCONER ROAD NW,5190,FALCONER HEIGHTS,WARD 09,53.4633824191091,-113.58828162815,"(53.4633824191091, -113.58828162815)"
168,Square Picnic Table,Wood,Metal,109 STREET NW,5030,BEARSPAW,WARD 10,53.4437220695707,-113.505316956797,"(53.4437220695707, -113.505316956797)"
307,Square Picnic Table,Wood,Aggregate,139 AVENUE NW,2320,HAIRSINE,WARD 04,53.6033309491076,-113.390361933673,"(53.6033309491076, -113.390361933673)"
164,Square Picnic Table,Wood,Wood,38A AVENUE NW,5160,DUGGAN,WARD 10,53.4739259898531,-113.51257851493,"(53.4739259898531, -113.51257851493)"
289,Square Picnic Table,Wood,Aggregate,12 AVENUE NW,6140,CRAWFORD PLAINS,WARD 12,53.4409353503311,-113.404558500918,"(53.4409353503311, -113.404558500918)"
270,Square Picnic Table,Wood,Aggregate,19A AVENUE NW,6460,MEYOKUMIN,WARD 11,53.4500018747531,-113.429442629015,"(53.4500018747531, -113.429442629015)"
273,Square Picnic Table,Wood,Aggregate,55 STREET NW,6520,MILL WOODS TOWN CENTRE,WARD 11,53.4577175206708,-113.424287757279,"(53.4577175206708, -113.424287757279)"
98,Square Picnic Table,Wood,Metal,53 AVENUE NW,5090,BROOKSIDE,WARD 09,53.4913458002359,-113.568467409415,"(53.4913458002359, -113.568467409415)"
282,Square Picnic Table,Wood,Metal,HERMITAGE ROAD NW,2350,HOMESTEADER,WARD 04,53.5862728968046,-113.408149699782,"(53.5862728968046, -113.408149699782)"
36,Square Picnic Table,Wood,Aggregate,64 AVENUE NW,4080,CALLINGWOOD SOUTH,WARD 05,53.4994473983682,-113.624270488912,"(53.4994473983682, -113.624270488912)"
317,Square Picnic Table,Wood,Metal,21 STREET NW,2280,FRASER,WARD 04,53.610393184769,-113.372858429924,"(53.610393184769, -113.372858429924)"
188,Square Picnic Table,Wood,Aggregate,135 AVENUE NW,2290,GLENGARRY,WARD 07,53.5959944438481,-113.475580112849,"(53.5959944438481, -113.475580112849)"
110,Square Picnic Table,Wood,Aggregate,130 STREET NW,3010,ATHLONE,WARD 02,53.5893450147642,-113.54530692925,"(53.5893450147642, -113.54530692925)"
284,Square Picnic Table,Wood,Aggregate,119 AVENUE NW,2040,BEACON HEIGHTS,WARD 07,53.5723946374683,-113.402344425442,"(53.5723946374683, -113.402344425442)"
130,Square Picnic Table,Metal,Metal,131 AVENUE NW,3070,CALDER,WARD 02,53.5907852434558,-113.524423699798,"(53.5907852434558, -113.524423699798)"
142,Square Picnic Table,Wood,Aggregate,117 STREET NW,3090,CARLISLE,WARD 02,53.6046188857497,-113.523977921282,"(53.6046188857497, -113.523977921282)"
23,Square Picnic Table,Concrete,Aggregate,WEDGEWOOD BOULEVARD NW,4570,WEDGEWOOD HEIGHTS,WARD 05,53.4803428021175,-113.64676841324,"(53.4803428021175, -113.64676841324)"
467,Square Picnic Table,Wood,Metal,116A AVENUE NW,3240,INGLEWOOD,WARD 02,53.5674074436825,-113.543793181325,"(53.5674074436825, -113.543793181325)"
90,Square Picnic Table,Wood,Wood,143 STREET NW,3300,MCQUEEN,WARD 06,53.5525928119293,-113.567344902328,"(53.5525928119293, -113.567344902328)"
293,Square Picnic Table,Wood,Metal,134 AVENUE NW,2710,SIFTON PARK,WARD 04,53.5943144205404,-113.409906302892,"(53.5943144205404, -113.409906302892)"
145,Square Picnic Table,Composite,Metal,112 STREET NW,5290,MCKERNAN,WARD 08,53.5111649311819,-113.519313298647,"(53.5111649311819, -113.519313298647)"
68,Square Picnic Table,Wood,Metal,CAMPBELL ROAD NW,3360,RAMPART INDUSTRIAL,WARD 02,53.6125105396779,-113.588951937923,"(53.6125105396779, -113.588951937923)"
245,Square Picnic Table,Wood,Aggregate,LAKEWOOD ROAD NORTH NW,6340,KAMEYOSEK,WARD 11,53.4614827479511,-113.443198688025,"(53.4614827479511, -113.443198688025)"
85,Square Picnic Table,Wood,Aggregate,BURTON ROAD NW,5100,BULYEA HEIGHTS,WARD 09,53.4780061257425,-113.563586215104,"(53.4780061257425, -113.563586215104)"
133,Square Picnic Table,Wood,Aggregate,48 AVENUE NW,5280,MALMO PLAINS,WARD 10,53.4851666902248,-113.530597222297,"(53.4851666902248, -113.530597222297)"
21,Square Picnic Table,Wood,Aggregate,181A STREET NW,4020,ALDERGROVE,WARD 01,53.5186524482229,-113.635000960488,"(53.5186524482229, -113.635000960488)"
206,Square Picnic Table,Wood,Aggregate,KLARVATTEN ROAD NW,2440,KLARVATTEN,WARD 03,53.6333341858617,-113.475444019017,"(53.6333341858617, -113.475444019017)"
239,Square Picnic Table,Wood,Aggregate,KNOTTWOOD ROAD SOUTH NW,6450,MENISA,WARD 11,53.4428173602852,-113.447787145811,"(53.4428173602852, -113.447787145811)"
128,Square Picnic Table,Wood,Aggregate,134B AVENUE NW,3250,KENSINGTON,WARD 02,53.5959183933209,-113.531371847313,"(53.5959183933209, -113.531371847313)"
265,Square Picnic Table,Wood,Aggregate,11A AVENUE NW,6670,SAKAW,WARD 11,53.4409050436832,-113.430187007839,"(53.4409050436832, -113.430187007839)"
234,Square Picnic Table,Wood,Aggregate,80 STREET NW,6230,FOREST HEIGHTS,WARD 08,53.5433434466351,-113.451254303903,"(53.5433434466351, -113.451254303903)"
197,Square Picnic Table,Wood,Metal,28 AVENUE NW,6570,PARSONS INDUSTRIAL,WARD 11,53.4604782853828,-113.480249288502,"(53.4604782853828, -113.480249288502)"
79,Square Picnic Table,Wood,Wood,SIR WILFRED LAURIER PARK ROAD NW,3380,RIVER VALLEY CAPITOL HILL,WARD 01,53.5131752976813,-113.546133951315,"(53.5131752976813, -113.546133951315)"
146,Square Picnic Table,Unknown,Unknown,123 AVENUE NW,1110,EDMONTON MUNICIPAL AIRPORT,WARD 02,53.5785120487541,-113.506530637195,"(53.5785120487541, -113.506530637195)"
443,Square Picnic Table,Wood,Aggregate,HADDOW DRIVE NW,5610,HADDOW,WARD 09,53.4537993970871,-113.597244979178,"(53.4537993970871, -113.597244979178)"
178,Square Picnic Table,Wood,Metal,ROSSDALE ROAD NW,1220,ROSSDALE,WARD 06,53.5373837165677,-113.489897009492,"(53.5373837165677, -113.489897009492)"
175,Square Picnic Table,Wood,Aggregate,87 AVENUE NW,5480,STRATHCONA,WARD 08,53.5225090801318,-113.493163705134,"(53.5225090801318, -113.493163705134)"
256,Round Picnic Table,Composite,Metal,58 STREET NW,6550,OTTEWELL,WARD 08,53.5308934359181,-113.423914216958,"(53.5308934359181, -113.423914216958)"
241,Square Picnic Table,Wood,Aggregate,MILLBOURNE ROAD EAST NW,6400,LEE RIDGE,WARD 11,53.4712088129181,-113.445938575813,"(53.4712088129181, -113.445938575813)"
136,Square Picnic Table,Wood,Metal,118 STREET NW,3060,CAERNARVON,WARD 02,53.610896757769,-113.527958309742,"(53.610896757769, -113.527958309742)"
377,Square Picnic Table,Wood,Aggregate,105 AVENUE NW,4060,BRITANNIA YOUNGSTOWN,WARD 01,53.5489435741655,-113.5929837649,"(53.5489435741655, -113.5929837649)"
